Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Salary Count,Average Salary
274,Dwight Powell,DAL,"$4,000,000","$4,000,000",,,,,4000000,2,2000000.0
275,Day'Ron Sharpe,BRK,"$3,989,122",,,,,,3989122,1,3989122.0
276,Santi Aldama,MEM,"$3,960,531",,,,,,3960531,1,3960531.0
277,Amir Coffey,LAC,"$3,938,271",,,,,,3938271,1,3938271.0
278,Jalen Hood-Schifino,UTA,"$3,879,840",,,,,,3879840,1,3879840.0
279,Kevin Love,MIA,"$3,850,000","$4,150,000",,,,,8000000,2,4000000.0
280,Dalton Knecht,LAL,"$3,819,120","$4,010,160","$4,201,080","$6,452,860",,,7829280,4,1957320.0
281,Tari Eason,HOU,"$3,695,160","$5,675,766",,,,,9370926,2,4685463.0
282,Jaime Jaquez Jr.,MIA,"$3,685,800","$3,861,600","$5,939,141",,,,7547400,3,2515800.0
283,Tristan Da Silva,ORL,"$3,628,440","$3,809,520","$3,991,200","$6,138,466",,,7437960,4,1859490.0
284,Brandin Podziemski,GSW,"$3,519,960","$3,687,960","$5,679,459",,,,7207920,3,2402640.0
285,Dalen Terry,CHI,"$3,510,480","$5,399,118",,,,,8909598,2,4454799.0
286,Svi Mykhailiuk,UTA,"$3,500,000","$3,675,000","$3,850,000","$4,025,000",,,3500000,4,875000.0
287,Cody Zeller,HOU,"$3,500,000",,,,,,3500000,1,3500000.0
288,Ja'Kobe Walter,TOR,"$3,465,000","$3,638,160","$3,811,800","$5,870,172",,,7103160,4,1775790.0
289,Cam Whitmore,HOU,"$3,379,080","$3,539,760","$5,458,310",,,,6918840,3,2306280.0
290,Jake LaRavia,SAC,"$3,352,680","$5,163,127",,,,,3352680,2,1676340.0
291,Jaylon Tyson,CLE,"$3,326,160","$3,492,480","$3,658,560","$5,641,500",,,6818640,4,1704660.0
292,Eric Gordon,PHI,"$3,303,771","$3,468,960",,,,,3303771,2,1651885.5
293,Cory Joseph,ORL,"$3,303,771","$3,468,960",,,,,3303771,2,1651885.5
294,Russell Westbrook,DEN,"$5,631,296","$3,468,960",,,,,3303771,2,1651885.5
295,Noah Clowney,BRK,"$3,244,080","$3,398,640","$5,414,034",,,,6642720,3,2214240.0
296,Malaki Branham,SAS,"$3,217,920","$4,962,033",,,,,8179953,2,4089976.5
297,Yves Missi,NOP,"$3,193,200","$3,353,040","$3,512,760","$5,595,827",,,6546240,4,1636560.0
298,Dante Exum,DAL,"$3,150,000",,,,,,3150000,1,3150000.0
299,Dariq Whitehead,BRK,"$3,114,240","$3,262,560","$5,366,912",,,,6376800,3,2125600.0
300,Nassir Little,PHO,"$3,107,143","$3,107,143","$3,107,143","$3,107,143","$3,107,143",,15535715,5,3107143.0
301,Christian Braun,DEN,"$3,089,640","$4,921,797",,,,,8011437,2,4005718.5
302,Johnny Juzang,UTA,"$3,087,519","$2,840,518","$2,708,000","$2,789,215",,,3087519,4,771879.75
303,DaRon Holmes,DEN,"$3,065,640","$3,218,760","$3,372,120","$5,547,138",,,6284400,4,1571100.0
304,Josh Richardson,UTA,"$3,051,153",,,,,,3051153,1,3051153.0
305,Christian Wood,LAL,"$3,036,040",,,,,,3036040,1,3036040.0
306,Kyle Filipowski,UTA,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",,,6000000,4,1500000.0
307,Julian Champagnie,SAS,"$3,000,000","$3,000,000","$3,000,000",,,,3000000,3,1000000.0
308,Ajay Mitchell,OKC,"$3,000,000","$3,000,000",,,,,3000000,2,1500000.0
309,Kris Murray,POR,"$2,990,040","$3,132,000","$5,315,004",,,,6122040,3,2040680.0
310,Walker Kessler,UTA,"$2,965,920","$4,878,938",,,,,7844858,2,3922429.0
311,Shake Milton,LAL,"$2,875,000","$3,000,000","$3,287,406",,,,9162406,3,3054135.3333333335
312,Olivier-Maxence Prosper,DAL,"$2,870,400","$3,007,080","$5,259,383",,,,5877480,3,1959160.0
313,David Roddy,ATL,"$2,967,212",,,,,,2847240,1,2847240.0
314,Torrey Craig,CHI,"$3,625,162",,,,,,2845342,1,2845342.0
315,Kyshawn George,WAS,"$2,825,520","$2,966,760","$3,108,000","$5,435,892",,,5792280,4,1448070.0
316,AJ Johnson,WAS,"$2,795,294","$3,090,480","$3,237,120","$5,493,394",,,5885774,4,1471443.5
317,Marcus Sasser,DET,"$2,755,080","$2,886,720","$5,198,983",,,,5641800,3,1880600.0
318,Dewayne Dedmon,DET,"$2,748,674",,,,,,2748674,1,2748674.0
319,MarJon Beauchamp,LAC,"$2,733,720",,,,,,2733720,1,2733720.0
320,Trendon Watford,BRK,"$2,726,603",,,,,,2726603,1,2726603.0
321,Ben Sheppard,IND,"$2,663,880","$2,790,720","$5,031,669",,,,5454600,3,1818200.0
322,Keita Bates-Diop,MIN,"$2,654,644",,,,,,2654644,1,2654644.0
323,Blake Wesley,SAS,"$2,624,280","$4,726,328",,,,,7350608,2,3675304.0
324,Dillon Jones,OKC,"$2,622,360","$2,753,280","$2,884,440","$5,200,646",,,5375640,4,1343910.0
325,Nick Smith Jr.,CHO,"$2,587,200","$2,710,680","$4,890,067",,,,5297880,3,1765960.0
326,Brice Sensabaugh,UTA,"$2,571,480","$2,693,760","$4,862,237",,,,5265240,3,1755080.0
327,Ty Jerome,CLE,"$2,560,975",,,,,,2560975,1,2560975.0
